Artist_Accession_Number,Article_Citation
"4576","Chicago Tribune  9/23/88, sec. 7, p. 62"
"4385","Chicago Tribune  9/9/88, sec 7, p. 57"
"272","Chicago Tribune (newspaper)"
"402","Chicago Tribune (newspaper)"
"227","Chicago Tribune (newspaper)"
"103","Chicago Tribune (newspaper)"
"1006","Chicago Tribune (newspaper)"
"126","Chicago Tribune (newspaper)"
"304","Chicago Tribune (newspaper)"
"520","Chicago Tribune (newspaper)"
"684","Chicago Tribune (newspaper)"
"82","Chicago Tribune (newspaper)"
"883","Chicago Tribune (newspaper)"
"730","Chicago Tribune (newspaper)"
"744","Chicago Tribune (newspaper)"
"589","Chicago Tribune (newspaper)"
"831","Chicago Tribune (newspaper)"
"835","Chicago Tribune (newspaper)"
"95","Chicago Tribune (newspaper)"
"3408","Chicago Tribune , ?month, 1986, Tempo, cover pp. 1,3"
"7426","Chicago Tribune 1/16/87, sec. 7, p. 47"
"7692","Chicago Tribune 1/18/63, p.?"
"5297","Chicago Tribune 1/22/88, sec. 7, p. 45"
"4042","Chicago Tribune 1/6/88, p.?"
"4890","Chicago Tribune 1/6/88, sec 7, p. 11"
"5306","Chicago Tribune 1/9/88 sect. & page?"
"4836","Chicago Tribune 10/1/88, sec. 1, p. 8"
"8483","Chicago Tribune 10/16/88 sec 15, pp.1, 4-5"
"5323","Chicago Tribune 10/16/88, sec. C, p. 1"
"3384","Chicago Tribune 10/30/87 sec. 7, p. 90"
"3857","Chicago Tribune 11/12/87, Tempo, pp. 1, 15"
"3988","Chicago Tribune 11/13/87, sec 7, p. 62"
"7086","Chicago Tribune 11/16/62"
"2179","Chicago Tribune 11/22/8(?) Sec. 15, p2"
"7135","Chicago Tribune 11/4/88, sec 7, p. 87"
"4396","Chicago Tribune 11/6/87, sec 2, p. 4"
"3825","Chicago Tribune 12/12/86, sec. 7, p. 106"
"7339","Chicago Tribune 12/12/86, sect. 6, p. 106"
"4758","Chicago Tribune 12/18/87, sec 7, p. 101"
"5494","Chicago Tribune 12/18/87, sec. 7, p. 124"
"7271","Chicago Tribune 12/18/87, sect. 7, p. 101"
"2227","Chicago Tribune 12/2/88"
"3798","Chicago Tribune 12/21/86 sec 13, p. 10"
"3106","Chicago Tribune 12/25/87, sec 7, p. 87"
"3805","Chicago Tribune 12/26/86, sec 7, p. 52"
"3878","Chicago Tribune 12/4/86, p. ?"
"2951","Chicago Tribune 12/8/85 Sect. 16, p. 1"
"8483","Chicago Tribune 2/1/87 sec 6, p.3"
"6336","Chicago Tribune 2/1/87, sect. 13, p. 14"
"7271","Chicago Tribune 2/13/87, sect. 7, p. 53"
"7525","Chicago Tribune 2/17/88, sec. 2, p. 13"
"5353","Chicago Tribune 2/21/88, sec. 6, p. 3"
"5551","Chicago Tribune 2/22/87, sec 15, p 3"
"7698","Chicago Tribune 2/6/87, sec 7, pp. 81, 83"
"3921","Chicago Tribune 3/17/88, sec ? pp 1,19"
"3339","Chicago Tribune 3/22/87, sec. 2, p. 9"
"2219","Chicago Tribune 3/29/1987"
"2669","Chicago Tribune 3/4/94 p. 10, sect. 2C (Obit.)"
"3656","Chicago Tribune 4/13/88, sect. & page ?"
"7433","Chicago Tribune 4/29/86, sec. 2, p. 1"
"7349","Chicago Tribune 4/30/87, sec 7, p. 90"
"3988","Chicago Tribune 5/2/86, sec 7, p. 45"
"2669","Chicago Tribune 5/29/94 p. 52"
"4885","Chicago Tribune 5/4/86, sec. 13, p. 7"
"4360","Chicago Tribune 5/6/88, sec 7, p. 2"
"7339","Chicago Tribune 6/15/88, sect. 7, p. 5"
"7135","Chicago Tribune 6/19/87, sec 7, pp. 94 & 98"
"4029","Chicago Tribune 6/19/87, sec. 7, p. 62"
"5354","Chicago Tribune 6/19/87, sec.7, p. 94"
"5398","Chicago Tribune 6/26/87 sec 7, p. 86"
"4266","Chicago Tribune 7/1/87, sec. 7, p. 3"
"7504","Chicago Tribune 7/10/88, sect. ?"
"2179","Chicago Tribune 7/14/88 Sec. 5 p3"
"4589","Chicago Tribune 7/17/87, sec 7, p. 6"
"7105","Chicago Tribune 7/23/86, sec 2, p. 6"
"7504","Chicago Tribune 7/31/88, sect. 6, p. 2"
"2179","Chicago Tribune 8/16/85 Sec. 7, p55"
"3876","Chicago Tribune 8/19/90 sec ? p ?"
"1257","Chicago Tribune 9/21/86 Sec. 18, p3"
"5122","Chicago Tribune 9/23/87, sect. 7, p. 22"
"2378","Chicago Tribune January 23, 1987, sect. 7, p. 62"
"7339","Chicago Tribune Mag. 4/10/94"
"3324","Chicago Tribune Magazine 7/30/61"
"6374","Chicago Tribune Magazine, 3/27/66, pp. 67 & 72"
"8252","Chicago Tribune Magazine, 7/30/61"
"1673","Chicago Tribune Nov. 6, 1987, sect. 7, p94"
"1910","Chicago Tribune obituary 3/7/57"
"1508","Chicago Tribune,  10/16/87, Sec. 7, p. 90"
"2311","Chicago Tribune, 1/ 6/ 88, sec. 7, p. 8"
"3761","Chicago Tribune, 1/19/72, obit."
"8304","Chicago Tribune, 1/2/81"
"7743","Chicago Tribune, 1/20/85, sec. 2, p. 7"
"5863","Chicago Tribune, 1/3/85, sec. 7, p. 9A"
"8273","Chicago Tribune, 10/16/1988 sec 15, pp. 1, 4-5"
"8274","Chicago Tribune, 10/20/88 sec 5, p.12"
"8125","Chicago Tribune, 10/30/87, sec 7 p 90"
"2596","Chicago Tribune, 11/ 20/87, Sec 7, p 108"
"8451","Chicago Tribune, 11/11/90 sec. 5, p.9"
"8532","Chicago Tribune, 11/20/88, sec 5, p.9"
"3090","Chicago Tribune, 12/ 21/86, sec. 13, p. 10"
"8170","Chicago Tribune, 12/14/86, sec 13, p.12"
"8170","Chicago Tribune, 12/19/86, sec 7 p.63"
"3746","Chicago Tribune, 12/21/86, sec. 13, p. 10"
"8219","Chicago Tribune, 12/28/86, sec 2, p.6"
"4151","Chicago Tribune, 12/4/87, sec 7, p. 22"
"7810","Chicago Tribune, 12/4/87, sect. 7, p. 55"
"1508","Chicago Tribune, 2/8/87, Sec. 6, p. 3"
"4204","Chicago Tribune, 3/25/88, sec 7, p. 12"
"8451","Chicago Tribune, 4/8/88, sec. 7, p. 90"
"3604","Chicago Tribune, 5/15/86, sec. 2, p.10"
"7810","Chicago Tribune, 5/4/88, sect. 7, pp. 20-2, 24"
"1508","Chicago Tribune, 5/8/87, Sec. 7, p. 84"
"2965","Chicago Tribune, 6/ 3/88, Sec. 7, p. 76"
"4808","Chicago Tribune, 6/19/87, sec. 5, p. 1"
"2228","Chicago Tribune, 7/ 10/ 87, sec 7, p 85"
"2668","Chicago Tribune, 7/ 24/88, sec 15, p 3"
"2983","Chicago Tribune, 8/16/87, Sec. 15, p. 5"
"3553","Chicago Tribune, 8/3/86, sec. 15, pp.1,3"
"2700","Chicago Tribune, 9/ 9/88, sec 7, p 87"
"2790","Chicago Tribune, 9/13/88, sec 7, pp 91-2, 94"
"8221","Chicago Tribune, 9/6/87, sec 15, p.4"
"2486","Chicago Tribune, 9/7/84, p. 1 Ent. Sect."
"7968","Chicago Tribune, April 23, 1989"
"2418","Chicago Tribune, Aug. 16, 1987"
"1949","Chicago Tribune, August 16,  1987"
"1829","Chicago Tribune, Dec. 14, 1986"
"4182","Chicago Tribune, Dec. 21, 1986, sect. 13, p. 10"
"7160","Chicago Tribune, Dec. 21, 1986, sect. 13, p. 10"
"7657","Chicago Tribune, Dec. 21, 1986, sect. 13, p. 10"
"7840","Chicago Tribune, Dec. 4, 1987, sect. 7, p. 102"
"8199","Chicago Tribune, December 21, 1986, sec 13 p. 10"
"2266","Chicago Tribune, Feb. 8, 1970"
"7951","Chicago Tribune, February 14,1986, Section 2, page 10."
"5008","Chicago Tribune, Jan. 11, 1998, sect. 5, p. 2"
"6800","Chicago Tribune, Jan. 5, 1986"
"3698","Chicago Tribune, Jan. 6, 1988, sect. 7, p. 10"
"7263","Chicago Tribune, July 12, 1985, sect. 2, p. 2"
"5377","Chicago Tribune, July 15, 1986, sect. C, p. 1"
"8018","Chicago Tribune, July 15, 1988, section 7, page 56"
"2900","Chicago Tribune, July 23, 1987, sect. ?, pp. 1, 6"
"8094","Chicago Tribune, July 30, 1987, section 2, page 11 (obituary)"
"2900","Chicago Tribune, July 31, 1987, sect. 7, p. 53"
"7783","Chicago Tribune, July 4, 1987, sect. 1, p. 5"
"1154","Chicago Tribune, June 10, 1988, s7, p54"
"1835","Chicago Tribune, June 26, 1988, sec. 15, p12"
"7974","Chicago Tribune, June 29, 1986, section 3, page 1"
"3767","Chicago Tribune, June 6, 1986, sect. 7, p. 38"
"1508","Chicago Tribune, May 1, 1987, Sect. 7, p. 9"
"2779","Chicago Tribune, May 12, 1985, sect. 2, p. 7, obit."
"4061","Chicago Tribune, May 2, 1986, sect. 7, p. 45"
"7263","Chicago Tribune, May 30, 1985, sect. 5, p. 13E"
"2227","Chicago Tribune, May 4, 1988, sect. 7, pp21-22, 24"
"2211","Chicago Tribune, Nov. 6, 1988"
"1013","Chicago Tribune, November 27, 1973"
"7974","Chicago Tribune, Oct. 12, 1986, Tempo pp.1,4"
"2163","Chicago Tribune, Oct. 16, 1987, sect. 7, p. 102"
"3149","Chicago Tribune, Oct. 20, 1985, sect. 2, p. 1"
"2158","Chicago Tribune, Oct. 20, 1988, sect. 5, p. 12"
"7782","Chicago Tribune, Oct. 21, 1988, sect. 7, p. 64"
"7974","Chicago Tribune, Oct. 22, 1986, section 2, page 3"
"2263","Chicago Tribune, Oct. 30, 1987, sect. 7, p 60"
"1674","Chicago Tribune, Oct. 6, 1988, sect. 15, p 6"
"1690","Chicago Tribune, Oct. 9, 1987, sect. 7, p 100"
"8066","Chicago Tribune, Sept. 2, 1988, section 7, p. 31"
"7263","Chicago Tribune, Sept. 22, 1985, sect. 13, p. 15"
"3767","Chicago Tribune, Sept. 23, 1988, sect. 7, p. 62"
"1162","Chicago Tribune, September 28, 1986, s3, p3"
"7708","Chicago Tribune, Tempo, 1/8/87, p 1"
"3374","Chicago Tribune,11/20/86, sect. 5, p. 13"
"4127","Chicago Tribune,12/26/86, sec 7, p. 52"
"2775","Chicago Tribune,2/17/89 sec 7, pp 93-4"
"3737","Chicago Tribune,2/19/88,sec. 7, pp. 45 & 47"
"5490","Chicago Tribune11/21/86, sec 7, p. 111"
"6944","Chicago Tribune11/7/85, Tempo, p 1"
"1645","Chicago, 2/90, 96-112"
"7979","Chicago, Tribune, Dec. 4, 1987, section 7, page 102."
"7479","Chicago-Sun 10/15/42, p. 13"
"8049","Christian Science Monitor, Dec. 31, 1998"
"6827","Christianity & the Arts, Spring 2001, pp. 48-49"
"2910","Cimaise Sept/Oct 89 p. 97-100"
"2597","Comm Art 14:201-3 My '33"
"5496","Comm Arts 7/86, p. 6"
"462","Communication Arts"
"2910","Connaissance des Aarts 11/89 p. 42"
"4698","Craft Horizons 12:12 Mar. '52"
"4698","Craft Horizons 12:8 Mar. '52"
"4698","Craft Horizons 13:22-26 Mar. '53"
"4698","Craft Horizons 19:8 Jan. '59"
"8483","Craft Horizons 8/68 pp.10-15"
"5095","Crain's Apr. 2-8, 1990"
"89","Crain's Chicago Business"
"240","Creative Communicator"
"2206","Dan's Papers 9/9/91"
"462","Design (London)"
"295","Design"
"146","Dialogue"
"3523","Dialogue 6/98 p. 44"
"2636","Dialogue May/June 1998"
"6899","Dialogue May/June 1998 p. 13"
"4363","Dialogue May/June 1998 p. 28-29"
"3205","Dialogue May/June 1998 p.24 - p. 13"
"1813","Dialogue May/June 1998 p14"
"3259","Dialogue May/June 1998, pp. 32-33"
"1364","Dialogue May-June 1998, pp24-27"
"5560","Ceramics Mo. 3/73 pp. 36-38"
"7382","AIC Scrapbook 72:122; 124; Jun-Nov 1938"
"1311","Downtown and Lake Shore News, v20, No15, May 13-18, 1986, p?"
"8049","Easy Reader, Nov. 12, 1998"
"466","Flash Art"
"4127","Flash Art, Summer 1990, No. 153"
"2431","Friends & Neighbors 10/2/85 p.?"
"462","Gebrauchsgraph"
"6798","Good Housekeeping March 1987"
"462","Graphis"
"166","High Performance"
"2901","High Performance 12/85, pp. 21-26"
"824","Hyde Park Herald (newspaper)"
"2179","Hyde Park Herald 4/16/75 p20"
"4962","Hyde Park Herald 4/9/75"
"3859","Hyde Park Herald 9/21/77, p. 16"
"1102","Hyde Park Herald July 23, 1985, p11"
"7160","Hyde Park Herald, Feb. 25, 1987, p. 7"
"2635","Hyde Park Herald, May 22, 1985, p. 14"
"2383","Hyde Park Herald, Nov. 5, 1986, p. 1"
"5613","Illinois Society of Architects Monthly Bulletin Feb. 1934"
"462","Ind Design"
"5759","Independent Journal 8/12/50, p. M6"
"5918","Inland Architect 1:23 Nov. 1957"
"8110","Inland Architect 1:7 Jan. 1958"
"5558","Inland Architect 2/74, pp. 16-17"
"2763","Inland Architect 2:7 Jan. 1959"
"5558","Inland Architect 5/61 p. 62"
"8536","Inland Architect, 2:7, 3/59"
"3303","Inland Architect. 1:11 D'57"
"5012","Inland Architect. 1:28 Sept. '57"
"3118","Inland Architect. 1:6, Feb. 1958"
"7643","Inland Architect. 2:7 Apr. '59"
"3183","Inland Architect. 2:9 Sept. '58"
"549","Inland Architect"
"1940","Inland Architect 2:7 Fe'59"
"8304","Inside Chicago Nov/Dec 1988"
"462","Interiors"
"4698","Interiors 108:56 Aug. '48"
"8094","Ireland Architecture, 1:9, May 1958, p. 6"
"8304","Journal of Art, 12/89"
"8049","LA Weekly, Jan. 12-15, 1999"
"1663","Life 3/16/46"
"138","Log Homes"
"2910","L'Oiel 11/90 p. 92"
"8049","Los Angeles Daily News, Nov. 18, 1998, Life section"
"2669","The Outsider, a Publication of Intuit, vol 13, issue 2, fall 2008"
"1603","The Outsider, a publication of Intuit, vol 13, issue 1, spring 2008"
"9381","Dialogo, Winter/Spring 2001, cover + p. 3 & 30"
"8014","New York Times Book Review, June 3, 2001"
"6053","Chicago History; July 1996, Vol. 25, Issue 2, p. 34-55."
"8856","Chicago Gallery News, Sept-Dec 2010, v. 25/no.3"
"1749","New Art Examiner, Chicago Artist Pages, Supp. 4/1987"
"1862","New Art Examiner, Chicago Artist Pages, Supp. 4/1987"
"9316","New Art Examiner, Chicago Artist Pages, Supp. 4/1987"
"3859","New Art Examiner, Chicago Artist Pages, Supp. 4/1987"
"10804","New Art Examiner, Chicago Artist Pages, Supp. 4/1987"
"3930","New Art Examiner, Chicago Artist Pages, Supp. 4/1987"
"10805","New Art Examiner, Chicago Artist Pages, Supp. 4/1987"
"4636","New Art Examiner, Chicago Artist Pages, Supp. 4/1987"
"5122","New Art Examiner, Chicago Artist Pages, Supp. 4/1987"
"10806","New Art Examiner, Chicago Artist Pages, Supp. 4/1987"
"5776","New Art Examiner, Chicago Artist Pages, Supp. 4/1987"
"4376","New Art Examiner, Chicago Artist Pages, Supp. 4/1987"
"6701","New Art Examiner, Chicago Artist Pages, Supp. 4/1987"
"6732","New Art Examiner, Chicago Artist Pages, Supp. 4/1987"
"7622","New Art Examiner, Chicago Artist Pages, Supp. 4/1987"
"8544","New Art Examiner, Chicago Artist Pages, Supp. 4/1987"
"10807","New Art Examiner, Chicago Artist Pages, Supp. 4/1987"
"10816","Chicago Gallery News, Sept-Dec 2014"
"8494","Chicago Gallery News, Sept-Dec 2014"
"5122","Chicago Gallery News, Sept-Dec 2014"
"11397","Chicago Gallery News, Jan-April 2014"
"1236","Chicago Gallery News, Jan-April 2014"
"4350","Chicago Gallery News, Jan-April 2014"
"3810","Chicago Gallery News, May-August 2014"
"4061","Chicago Gallery News, May-August 2014"
"1409","Chicago Gallery News, May-August 2014"
"3988","Chicago Gallery News, May-August 2014"
"5778","Chicago Gallery News, May-August 2014"
"4204","Chicago Gallery News, May-August 2014"
"2247","Chicago Gallery News, May-August 2014"
"6621","Chicago Gallery News, May-August 2014"
"4460","Chicago Gallery News, May-August 2014"
"1185","Chicago Gallery News, May-August 2014"
"3681","Chicago Gallery News, April-Aug, 2012"
"5033","Chicago Gallery News, Jan-April, 2013"
"4492","Chicago Gallery News, Jan-April, 2013"
"10603","Chicago Gallery News, Jan-April, 2013"
"10603","Chicago Gallery News, May-August, 2013"
"11458","Chicago Gallery News, May-August, 2013"
"10404","Chicago Gallery News, May-August, 2013"
"11459","Chicago Gallery News, May-August, 2013"
"10823","Chicago Gallery News, May-August, 2013"
"10448","Chicago Gallery News, May-August, 2013"
"6058","Chicago Gallery News, Sept-Dec, 2013"
"11460","Chicago Gallery News, Sept-Dec, 2013"
"10836","Chicago Gallery News, Sept-Dec 2012"
"10485","Chicago Gallery News, Sept-Dec 2012"
"10498","Chicago Gallery News, Sept-Dec, 2011"
"5033","Chicago Gallery News, April-August, 2008"
"9382","Chicago Gallery News, April-August, 2010"
"5033","Chicago Gallery News, April-August, 2010"
"4223","Chicago Gallery News, Jan-March, 2011"
"8304","Chicago Gallery News, Jan-March, 2011"
"2247","Chicago Gallery News, Jan-March, 2011"
"8494","Chicago Gallery News, April-Aug, 2011"
"609","Chicago Gallery News, April-Aug, 2011"
"10834","Chicago Gallery News, April-Aug, 2011"
"1000","Chicago Gallery News, April-Aug, 2011"
"10812","Chicago Gallery News, Sept-Dec, 2008"
"6621","Chicago Gallery News, Jan-March, 2010"
"4350","Chicago Gallery News, Sept-Dec, 2010"
"10838","Chicago Gallery News, Sept-Dec, 2010"
"10395","Chicago Gallery News, Sept-Dec, 2010"
"11461","Chicago Gallery News, Sept-Dec, 2005"
"3681","Chicago Gallery News, Jan-March, 2002"
"11462","Chicago Gallery News, Jan-March, 2003"
"5583","Chicago Gallery News, April-August, 2003"
"10741","Chicago Gallery News, Jan-March, 2012"
"3200","Chicago Gallery News, Jan-March, 2012"
"4460","Chicago Gallery News, Jan-March, 2012"
"11486","Chicago Gallery News Sept-Dec, 2011"
"11487","Chicago Gallery News, Jan-April, 2015"
"11488","Chicago Gallery News, April-August, 2012"
"2742","Chicago Gallery News, April-August, 2012"
"11489","Chicago Gallery News, Sept-Dec, 2012"
"11490","Chicago Gallery News, Jan-April, 2013"
"8893","Chicago Gallery News, Jan-April, 2013"
"11491","Chicago Gallery News, Jan-April, 2014"
"5559","New Art Examiner, October 1978, p. 6 (interview with artist)"
"4426","Chicago Gallery News, May-August, 2015"
"6850","Chicago Gallery News, May-August, 2015"
"11619","Chicago Gallery News, May-August, 2015"
"11620","Chicago Gallery News, May-August, 2015"
"11621","Chicago Gallery News, May-August, 2015"
"11622","Chicago Gallery News, May-August, 2015"
"11623","Chicago Gallery News, May-August, 2015"
"11800","New City Breakout Artists"
"11805","Chicago Reader, 10/6/16"
"11144","New City, 5-1-16"
"11838","Hegewisch Times, September 1, 2016"
"26","Contratiempo, No.2, June 2003"
"1081","Art in America Dec 1987 pp. 42-47"
"8179","New Art Examiner, January 1979, pp4-6"
"8167","Artweek February 17, 1979, pp1,16."
"2563",""
